country,designation,points,price,province,variety,winery,fill,
US,Lake William,90,180,California,Bordeaux,Jarvis,#91C5AA,
US,Lake William,90,180,California,Bordeaux,Jarvis,#91C5AA,
US,Special Selection,90,180,California,Cabernet,Caymus,#91C5AA,
US,Joy! Blanc de Blancs,97,179,California,Sparkling Blend,Iron Horse,#91C5AA,
US,Estate Bottled,90,179,California,Bordeaux,Dominus,#91C5AA,
US,IX Estate Red Wine,98,175,California,Bordeaux,Colgin,#91C5AA,
US,Beckstoffer To Kalon Vineyard,97,175,California,Cabernet,Macauley,#91C5AA,
US,Red Rock Terrace,97,175,California,Cabernet,Diamond Creek,#91C5AA,
US,J. Schram 50 Late Disgorged,97,175,California,Champagne Blend,Schramsberg,#91C5AA,
US,J. Schram 50 Late Disgorged,97,175,California,Champagne Blend,Schramsberg,#91C5AA,
US,Gravelly Meadow,96,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,96,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Cor Leonis,96,175,California,Cabernet,Moone-Tsai,#91C5AA,
US,Gravelly meadow,96,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,96,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Episode,95,175,California,Bordeaux,Terlato,#91C5AA,
US,Elevation 1147',95,175,California,Cabernet,David Arthur,#91C5AA,
US,Red Rock Terrace,95,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Cor Leonis,95,175,California,Cabernet,Moone-Tsai,#91C5AA,
US,HaLo,95,175,California,Cabernet,Trefethen,#91C5AA,
US,HaLo,95,175,California,Cabernet,Trefethen,#91C5AA,
US,Cor Leonis,95,175,California,Cabernet,moone-Tsai,#91C5AA,
US,Estate,95,175,California,Cabernet,Staglin,#91C5AA,
US,HaLo,95,175,California,Cabernet,Trefethen,#91C5AA,
US,Red Rock Terrace,95,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Volcanic Hill,95,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Episode,94,175,California,Bordeaux,Terlato,#91C5AA,
US,Episode,94,175,California,Bordeaux,Terlato,#91C5AA,
US,Rattlesnake,94,175,California,Cabernet,Barnett,#91C5AA,
US,Chateau Grand Reserve,94,175,California,Cabernet,Buena Vista,#91C5AA,
US,Volcanic Hill,94,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,175,California,Cabernet,Janzen,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,175,California,Cabernet,Janzen,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,175,California,Cabernet,Janzen,#91C5AA,
US,Stagecoach Vineyard Select Barrel Reserve,94,175,California,Cabernet,Patland,#91C5AA,
US,Stagecoach Vineyard Select Barrel Reserve,94,175,California,Cabernet,Patland,#91C5AA,
US,Beckstoffer Dr. Crane Vineyard,94,175,California,Cabernet,Paul Hobbs,#91C5AA,
US,Beckstoffer Las Piedras Vineyard,94,175,California,Cabernet,Paul Hobbs,#91C5AA,
US,Nomad Beckstoffer Las Piedras,94,175,California,Cabernet,Stewart,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,175,California,Cabernet,Janzen,#91C5AA,
US,Volcanic Hill,94,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Reserve 50 Late Disgorged,94,175,California,Champagne Blend,Schramsberg,#91C5AA,
US,Reserve 50 Late Disgorged,94,175,California,Champagne Blend,Schramsberg,#91C5AA,
US,Red Wine,93,175,California,Bordeaux,Amuse Bouche,#91C5AA,
US,Beckstoffer Las Piedras Vineyard,93,175,California,Cabernet,Paul Hobbs,#91C5AA,
US,Beckstoffer Las Piedras Vineyard,93,175,California,Cabernet,Paul Hobbs,#91C5AA,
US,Fortis,93,175,California,Cabernet,Pine Ridge,#91C5AA,
US,Aida,93,175,California,Cabernet,Vineyard 29,#91C5AA,
US,Gravelly meadow,93,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Grace Vineyard,93,175,Oregon,Pinot Noir,Domaine Serene,#91C5AA,
US,IX Estate,93,175,California,Syrah,Colgin,#91C5AA,
US,Wallah Wallah Special #5,93,175,Washington,Syrah,Cayuse,#91C5AA,
US,The Black Cordon Vineyard,92,175,California,Cabernet,Black Cordon,#91C5AA,
US,Red Rock Terrace,92,175,California,Cabernet,Diamond Creek,#91C5AA,
US,The Lion Estate Grown,92,175,California,Cabernet,Hess Collection,#91C5AA,
US,Estate,92,175,California,Cabernet,Staglin,#91C5AA,
US,Estate,92,175,California,Cabernet,Staglin,#91C5AA,
US,Gravelly meadow,92,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Profile,91,175,California,Bordeaux,Merryvale,#91C5AA,
US,Seraphim,91,175,California,Cabernet,Wallis Family Estate,#91C5AA,
US,Red Rock Terrace,91,175,California,Cabernet,Diamond Creek,#91C5AA,
US,Episode,90,175,California,Bordeaux,Terlato,#91C5AA,
US,Episode,90,175,California,Bordeaux,Terlato,#91C5AA,
US,Beckstoffer To Kalon Vineyard,90,175,California,Cabernet,Janzen,#91C5AA,
US,Genception of Giants,90,175,California,Syrah,Galatea Effect,#91C5AA,
US,Yountville Selection Estate Grown,89,175,California,Cabernet,Grgich Hills,#91C5AA,
US,Purple Mountain,85,175,California,Cabernet,Cielo Malibu Estate Vineyards,#91C5AA,
US,Purple mountain,85,175,California,Cabernet,Cielo malibu Estate Vineyards,#91C5AA,
US,ERA,94,170,California,Bordeaux,Alpha Omega,#91C5AA,
US,ERA,94,170,California,Bordeaux,Alpha Omega,#91C5AA,
US,Private Reserve,93,170,California,Cabernet,Beringer,#91C5AA,
US,Mockingbird Green Label,93,170,California,Cabernet,Tuck Beckstoffer,#91C5AA,
US,Lake William,92,170,California,Bordeaux,Jarvis,#91C5AA,
US,Cherryblock,89,170,California,Cabernet,Sebastiani,#91C5AA,
US,Red Label,87,170,California,Cabernet,Mockingbird,#91C5AA,
US,Red Label,87,170,California,Cabernet,mockingbird,#91C5AA,
US,Cherryblock,86,170,California,Cabernet,Sebastiani,#91C5AA,
US,Cherryblock,86,170,California,Cabernet,Sebastiani,#91C5AA,
US,OPR,92,168,California,Cabernet,Callaway,#91C5AA,
US,OPR,92,168,California,Cabernet,Callaway,#91C5AA,
US,Profile,97,165,California,Bordeaux,Merryvale,#91C5AA,
US,Exzellenz Red Wine Sacrashe Vineyard,96,165,California,Cabernet,Hall,#91C5AA,
US,State Lane Vineyard Estate Cuvae,95,165,California,Bordeaux,Kapcsandy Family Winery,#91C5AA,
US,Beckstoffer To Kalon Vineyard,95,165,California,Cabernet,B Cellars,#91C5AA,
US,Gold,95,165,California,Cabernet,Caldwell,#91C5AA,
US,Kathryn Hall,95,165,California,Cabernet,Hall,#91C5AA,
US,Kathryn Hall,95,165,California,Cabernet,Hall,#91C5AA,
US,Estate,95,165,California,Cabernet,Hourglass,#91C5AA,
US,Martin Stelling Vineyard,95,165,California,Cabernet,Nickel & Nickel,#91C5AA,
US,Family Estate Grown,95,165,California,Cabernet,Spottswoode,#91C5AA,
US,Estate,95,165,California,Cabernet,Hourglass,#91C5AA,
US,Profile,94,165,California,Bordeaux,merryvale,#91C5AA,
US,Wallah Wallah Special #4,94,165,Washington,Syrah,Cayuse,#91C5AA,
US,Beckstoffer To Kalon Vineyard,93,165,California,Cabernet,Cliff Lede,#91C5AA,
US,Exzellenz Sacrashe Vineyard,92,165,California,Bordeaux,Hall,#91C5AA,
US,Proprietary Red Wine,92,165,California,Bordeaux,Continuum,#91C5AA,
US,Reserve Clone 6,92,165,California,Cabernet,Beaulieu Vineyard,#91C5AA,
US,Reserve Clone 4,91,165,California,Cabernet,Beaulieu Vineyard,#91C5AA,
US,Stagecoach Vineyard M5,91,165,California,Cabernet,Krupp Brothers,#91C5AA,
US,Cuvae Julia,85,165,California,Red Blend,Delectus,#91C5AA,
US,Cuvee Julia,85,165,California,Red Blend,Delectus,#91C5AA,
US,Stags Leap District,96,160,California,Cabernet,Hall,#91C5AA,
US,The Montelena Estate,94,160,California,Cabernet,Chateau Montelena,#91C5AA,
US,Proprietary,94,160,California,Red Blend,Viader,#91C5AA,
US,Joy! Rosa,94,160,California,Sparkling Blend,Iron Horse,#91C5AA,
US,Joy! Rose,94,160,California,Sparkling Blend,Iron Horse,#91C5AA,
US,Clone 337 Unfiltered,93,160,California,Cabernet,Bell,#91C5AA,
US,Tesorina,92,160,California,Bordeaux,Rocca,#91C5AA,
US,Segassia Vineyard,92,160,California,Cabernet,Hall,#91C5AA,
US,Martin Stelling Vineyard,92,160,California,Cabernet,Nickel & Nickel,#91C5AA,
US,Reserve,92,160,California,Cabernet,ZD,#91C5AA,
US,Grand Ciel,91,160,Washington,Cabernet,DeLille,#91C5AA,
US,Grand Ciel,91,160,Washington,Cabernet,DeLille,#91C5AA,
US,Cherryblock Vineyard,88,160,California,Cabernet,Sebastiani,#91C5AA,
US,Checkmate,86,160,California,Cabernet,Summers,#91C5AA,
